Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7CpbhqKUedOIrcvc94p60Y,Bodies,Sinner,Drowning Pool,1/1/2001,201960,80,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,alternative metal,rap metal,metal",The Bicycle Music Company,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4
spotify:track:0JiVRyTJcJnmlwCZ854K4p,Alone,Alone,Alan Walker,12/2/2016,161200,63,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,,Kreatell Music,0.676,0.929,10,-3.194,1,0.0458,0.186,0.000405,0.121,0.157,97.019,4
spotify:track:3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,Heavy Is the Crown,Linkin Park,9/24/2024,167012,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:20:18Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.571,0.928,4,-3.725,0,0.0453,0.00932,0,0.297,0.489,127.939,4
spotify:track:2r2vr5ujMEZN9hJzwwc6Jk,Montagem Supersonic,Montagem Supersonic,KHAOS;Jmilton;Mc Jajá,7/4/2025,87816,83,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:24Z,"phonk,brazilian phonk,funk",KHAOS,0.568,0.926,0,-4.836,0,0.0532,0.0056,0.046,0.329,0.624,132.031,4
spotify:track:23UoI3jlFiWdo5jadUYo69,Bulls In The Bronx,Collide With The Sky,Pierce The Veil,7/17/2012,267866,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"emo,screamo,post-hardcore",Fearless Records,0.472,0.925,6,-3.545,0,0.15,0.000394,0.000528,0.0826,0.338,159.989,4
spotify:track:23UoI3jlFiWdo5jadUYo69,Bulls In The Bronx,Collide With The Sky,Pierce The Veil,7/17/2012,267866,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"emo,screamo,post-hardcore",Fearless Records,0.472,0.925,6,-3.545,0,0.15,0.000394,0.000528,0.0826,0.338,159.989,4
spotify:track:23UoI3jlFiWdo5jadUYo69,Bulls In The Bronx,Collide With The Sky,Pierce The Veil,7/17/2012,267866,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"emo,screamo,post-hardcore",Fearless Records,0.472,0.925,6,-3.545,0,0.15,0.000394,0.000528,0.0826,0.338,159.989,4
spotify:track:7LR85XLWw2yXqKBSI5brbG,Run This Town,The Blueprint 3,JAŸ-Z;Rihanna;Kanye West,9/8/2009,267520,82,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"hip hop,east coast hip hop,rap",Roc Nation / Jay-Z,0.632,0.924,1,-1.802,1,0.29,0.281,0,0.263,0.441,86.844,4
spotify:track:0SiywuOBRcynK0uKGWdCnn,Bad Romance,The Fame Monster (Deluxe Edition),Lady Gaga,11/5/2009,294573,87,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"art pop,pop",Interscope,0.695,0.921,0,-3.752,1,0.0363,0.00314,0.0000526,0.0842,0.714,119.007,4
spotify:track:0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Evil Empire,Rage Against The Machine,4/16/1996,229466,76,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"rap metal,rap rock,alternative metal,nu metal",Epic,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,4
